234765899,sason,cohen,97250811,benjaminyakobi,ashdod,yodev,1,93172:,PENDING,bank,NEW,28,4,2017
654123789,gal,levi,97250211,gallevi@gmail.com,tel aviv,histadrut,2,20854:,WON,bank,NEW,21,4,2016
198023556,dor,ben shushan,97250511,shushan@gmail.com,ashkelon,vaitzman,1,47470:,LOST,cash,NEW,31,6,2016
119872065,dori,levin,97250211,dorilevin@gmail.com,ashdod,nofim,1,89923:,WON,bank,NEW,16,10,2017
324645222,gali,berg,97250611,galiberg@gmail.com,rishon,shorashim,1,78836:,WON,bank,NEW,11,11,2018
338889760,avi,derg,97250111,aviderg@gmail.com,elat,alef,1,35334:,PENDING,cash,NEW,12,11,2018
475677800,srulik,yoanson,97250511,srulikyoanson@gmail.com,haifa,motzkin,1,21871:,PENDING,bank,NEW,31,5,2018
109456287,roy,katz,97250311,roykatz@gmail.com,tel aviv,yodev,1,79734:,LOST,cash,NEW,24,11,2017
522678490,roni,gantz,97250911,ronigantz@gmail.com,ashkelon,topaz,2,68312:,WON,cash,NEW,8,10,2017
234765899,sason,cohen,97250812,benjaminyakobi,ashdod,yodev,1,19172:,PENDING,bank,NEW,28,4,2017
654123789,gal,levi,97250212,gallevi@gmail.com,tel aviv,histadrut,1,22854:,WON,bank,NEW,21,4,2016
198023556,dor,ben shushan,97250512,shushan@gmail.com,ashkelon,vaitzman,2,14770:,LOST,cash,NEW,31,6,2016
129872065,dori,levin,97250212,dorilevin@gmail.com,ashdod,nofim,1,18993:,WON,bank,NEW,16,10,2017
324645222,gali,berg,97250612,galiberg@gmail.com,rishon,shorashim,1,17836:,WON,bank,NEW,12,12,2018
123457197,avi,levin,97251891,galiberg@gmail.com,rishon,nofim,1,179734:,WON,bank,NEW,16,10,2017
123457401,mevi,zberg,97252523,aviderg@gmail.com,elat,tziyonut,1,179734:,PENDING,cash,NEW,26,12,2018
123457503,nithan,derg,97252839,srulikyoanson@gmail.com,haifa,alef,1,135335:,PENDING,cash,NEW,12,12,2018
123457605,nitsan,yoanson,97253155,roykatz@gmail.com,tel aviv,motzkin,1,121871:,PENDING,bank,NEW,31,5,2018
123457707,mesupah,katz,97253471,srulikyoanson@gmail.com,elat,yodev,1,179734:,LOST,cash,NEW,24,12,2017
123457809,shahaf,aytsev,97253787,roykatz@gmail.com,haifa,yodev,1,150628:,PENDING,ash,NEW,3,1,2019
123457912,shmuel,yoanson,97254103,benjaminyakobi,tel aviv,yodev,1,135334:,PENDING,cash,NEW,12,12,2018
123458125,menashe,aytsev,97254735,aviderg@gmail.com,tel aviv,histadrut,1,179734:,WON,cash,NEW,12,12,2018
123458217,ahmad,cohen,97255051,srulikyoanson@gmail.com,haifa,vaitzman,1,135335:,PENDING,ash,NEW,31,5,2018
123458319,asad,levi,97255367,roykatz@gmail.com,tel aviv,nofim,2,121871:,WON,bank,NEW,24,12,2017
123458421,nasralla,ben shushan,97255683,srulikyoanson@gmail.com,ashdod,shorashim,1,179734:,LOST,bank,NEW,3,1,2019
123458523,kasem,katz,97255999,roykatz@gmail.com,tel aviv,tziyonut,1,135335:,WON,cash,NEW,28,4,2017
123458625,yoni,aytsev,97256315,benjaminyakobi,ashkelon,alef,1,179734:,WON,bank,NEW,21,4,2016
123458727,maxim,yoanson,97256631,gallevi@gmail.com,ashdod,motzkin,2,121871:,WON,bank,NEW,31,6,2016
123458829,nahal,aytsev,97256947,aviderg@gmail.com,rishon,yodev,1,179734:,PENDING,cash,NEW,12,12,2018
123458931,horef,cohen,97257263,srulikyoanson@gmail.com,kfar saba,yodev,1,135335:,WON,cash,NEW,26,12,2018
123459033,kaits,levi,97257579,roykatz@gmail.com,elat,yodev,1,121871:,LOST,bank,NEW,12,12,2018
123459135,sami,ben shushan,97257895,aviderg@gmail.com,haifa,histadrut,1,179734:,WON,cash,NEW,31,5,2018
123459237,summer,levin,97258212,srulikyoanson@gmail.com,tel aviv,vaitzman,1,121871:,WON,ash,NEW,24,12,2017
123459339,misha,berg,97258527,roykatz@gmail.com,elat,nofim,1,179734:,PENDING,cash,NEW,3,1,2019
123459441,micha,zberg,97258843,benjaminyakobi,haifa,nofim,2,150628:,PENDING,bank,NEW,3,1,2019
123459543,bibi,derg,97259159,gallevi@gmail.com,tel aviv,shorashim,1,135334:,PENDING,cash,NEW,28,4,2017
123459645,gabay,yoanson,97259475,shushan@gmail.com,ashdod,tziyonut,1,121871:,LOST,ash,NEW,21,4,2016
123459747,tsipi,katz,97259791,dorilevin@gmail.com,tel aviv,alef,2,179734:,PENDING,bank,NEW,31,6,2016
