nastia,123456,manager
ariel,284639,manager
karin,751239,manager
costa,306893,manager
moshiko,420156,manager
denis,395317,manager
liz,584230,manager
binyamin,301256,manager
dor,312065,employee
dori,324865,employee
gali,751329,employee
galit,601452,employee
avi,325874,employee
srulik,3062541,employee
roy,302549,employee
roni,320156,employee
bibi,842571,employee
tom,3256984,employee
daniel,6265861,employee
yoni,2012547,employee
yotam,3546468,employee
omri,1236586,employee
shahar,655651,employee
natali,64684,employee
yogev,564865,employee
