415272317,sason,cohen,972507812553,sasoncohen@gmail.com,haifa,topaz,93172,pending,,Potential ,28,4,2017
639446307,gal,levi,972501858558,gallevi@gmail.com,tel aviv,histadrut,20854,won,bank,Subscribed,21,4,2016
378544115,dor,ben shushan,972505038026,dorben shushan@gmail.com,ashkelon,vaitzman,47470,lost,,Potential ,31,6,2016
387653895,dori,levin,972502311532,dorilevin@gmail.com,ashdod,nofim,89923,won,credit,Subscribed,16,10,2017
736000647,gali,berg,972506249036,galiberg@gmail.com,rishon,shorashim,78836,won,credit,Potential ,11,5,2016
282106721,galit,zberg,972503918905,galitzberg@gmail.com,kfar saba,tziyonut,50628,pending,,Potential ,26,3,2018
978464919,avi,derg,972501426634,aviderg@gmail.com,elat,alef,35334,pending,,Potential ,12,8,2018
176039004,srulik,yoanson,972505237658,srulikyoanson@gmail.com,haifa,motzkin,21871,pending,,Potential ,31,5,2018
323004967,roy,katz,972503071672,roykatz@gmail.com,tel aviv,yodev,79734,lost,,Potential ,24,11,2017
869525735,roni,gantz,972508968215,ronigantz@gmail.com,ashkelon,topaz,68312,won,cash,Subscribed,8,10,2017
635029402,bibi,netanyahu,972507628179,bibinetanyahu@gmail.com,ashdod,histadrut,74003,lost,,Potential ,13,11,2017
373923035,tom,kashti,972508097888,tomkashti@gmail.com,rishon,vaitzman,87813,pending,,Potential ,26,3,2018
439369482,daniel,ifargan,972504489174,danielifargan@gmail.com,kfar saba,nofim,89751,pending,,Potential ,21,1,2017
142235309,yoni,bloh,972502706477,yonibloh@gmail.com,elat,shorashim,27779,lost,,Potential ,12,2,2016
698263630,yotam,shatz,972502037497,yotamshatz@gmail.com,haifa,tziyonut,42099,won,credit,Subscribed,16,6,2017
639535683,omri,ronnen,972504975524,omrironnen@gmail.com,tel aviv,alef,77991,pending,,Potential ,26,9,2018
783944057,shahar,oz,972502483188,shaharoz@gmail.com,ashkelon,motzkin,94822,pending,,Potential ,16,7,2018
372364785,natali,gal,972506247210,nataligal@gmail.com,ashdod,yodev,60941,won,cash,Subscribed,14,4,2016
135266005,eden,ben zaken,972505790049,edenben zaken@gmail.com,rishon,topaz,75586,pending,,Potential ,15,9,2017
253291015,ofer,nissim,972502789920,ofernissim@gmail.com,kfar saba,histadrut,18321,pending,,Potential ,26,4,2016
620483756,liron,lamed,972501189452,lironlamed@gmail.com,elat,vaitzman,63090,pending,,Potential ,22,6,2018
373868903,oscar,Queen,972501887738,oscarQueen@gmail.com,haifa,nofim,63407,lost,,Potential ,5,2,2017
609186814,charls,Queen,972508043684,charlsQueen@gmail.com,tel aviv,shorashim,48648,pending,,Potential ,1,6,2017
513095756,wiliams,king,972502889304,wiliamsking@gmail.com,ashkelon,tziyonut,37202,lost,,Potential ,14,8,2016
561539168,sarit,hadad,972504228006,sarithadad@gmail.com,ashdod,alef,21428,pending,,Potential ,23,2,2016
348794567,binyamin,franklin,972502925760,binyaminfranklin@gmail.com,rishon,motzkin,11149,pending,,Potential ,19,2,2016
678958221,ariel,chernis,972503023862,arielchernis@gmail.com,kfar saba,yodev,98162,pending,,Potential ,4,1,2017
441366530,karin,sapir,972503975240,karinsapir@gmail.com,elat,yodev,44023,pending,,Potential ,4,8,2017
662134358,nastia,zayez,972509043610,nastiazayez@gmail.com,haifa,topaz,90647,pending,,Potential ,31,2,2017
217086886,liz,dahan,972506950940,lizdahan@gmail.com,tel aviv,histadrut,47983,pending,,Potential ,28,7,2017
169578062,costa,jelly,972507630504,costajelly@gmail.com,ashkelon,vaitzman,39270,pending,,Potential ,7,6,2016
309527084,shani,bion,972501297289,shanibion@gmail.com,ashdod,nofim,54401,won,bank,Subscribed,10,3,2017
574310290,polina,oshuvitz,972503920345,polinaoshuvitz@gmail.com,rishon,shorashim,59501,pending,,Potential ,2,4,2018
375671783,tamar,mualem,972501742156,tamarmualem@gmail.com,kfar saba,tziyonut,62551,pending,,Potential ,23,6,2018
393978820,rahel,rahel,972506880309,rahelrahel@gmail.com,elat,alef,28343,pending,,Potential ,26,11,2016
780275502,hedva,shatyim,972503208577,hedvashatyim@gmail.com,haifa,motzkin,27723,pending,,Potential ,5,8,2018
537516545,karolina,lemke,972501548498,karolinalemke@gmail.com,tel aviv,yodev,95930,pending,,Potential ,25,7,2016
