234765899,sason,cohen,97250811,benjaminyakobi,ashdod,yodev,193172:,PENDING,bank,NEW,28,4,2017
654123789,gal,levi,97250211,gallevi@gmail.com,tel aviv,histadrut,220854:32567:,WON,bank,NEW,21,4,2016
198023556,dor,ben shushan,97250511,shushan@gmail.com,ashkelon,vaitzman,147470:,LOST,cash,NEW,31,6,2016
119872065,dori,levin,97250211,dorilevin@gmail.com,ashdod,nofim,189923:,WON,bank,NEW,16,10,2017
324645222,gali,berg,97250611,galiberg@gmail.com,rishon,shorashim,178836:,WON,bank,NEW,11,11,2018
980061234,galit,zberg,97250411,galitzberg@gmail.com,kfar saba,tziyonut,150628:,PENDING,cash,NEW,26,11,2018
338889760,avi,derg,97250111,aviderg@gmail.com,elat,alef,135334:,PENDING,cash,NEW,12,11,2018
475677800,srulik,yoanson,97250511,srulikyoanson@gmail.com,haifa,motzkin,121871:,PENDING,bank,NEW,31,5,2018
109456287,roy,katz,97250311,roykatz@gmail.com,tel aviv,yodev,179734:,LOST,cash,NEW,24,11,2017
123456789,nastia,aytsev,12423565,esdhgf,dfg,gdfg,135335:,WON,ash,NEW,3,1,2019
